day,team,observer,transect,lat,lon,leather,pisaster,fucus,sea potato,bull,giant,sargassum,turkish
1,B,1,1,48.52455,-125.09608,0,0,93,20,9,1,0,0
1,B,2,1,48.52455,-125.09608,0,0,90,45,27,1,0,0
1,B,3,1,48.52455,-125.09608,0,0,178,0,19,0,0,0
1,B,4,1,48.52455,-125.09608,0,0,97,0,6,0,0,0
1,B,5,1,48.52455,-125.09608,0,0,71,0,11,0,0,0
1,B,6,1,48.52455,-125.09608,1,0,140,203,0,1,0,0
1,B,7,1,48.52455,-125.09608,1,0,126,185,0,1,0,0
1,A,1,2,48.87392,-125.15909,1,0,33,10,0,12,0,0
1,A,2,2,48.87392,-125.15909,0,0,31,0,0,0,0,0
1,A,3,2,48.87392,-125.15909,1,0,36,12,0,15,0,0
1,A,4,2,48.87392,-125.15909,1,0,26,40,0,5,0,0
1,A,5,2,48.87392,-125.15909,0,0,51,0,0,0,0,0
1,A,6,2,48.87392,-125.15909,4,0,24,15,0,4,0,0
1,A,7,2,48.87392,-125.15909,0,0,14,11,0,10,0,0
1,A,8,2,48.87392,-125.15909,1,0,0,11,0,10,0,0
2,B,1,3,48.87392,-125.15909,0,0,39,35,0,4,215,0
2,B,2,3,48.87392,-125.15909,0,0,40,41,0,3,172,0
2,B,3,3,48.87392,-125.15909,0,0,37,33,0,4,187,0
2,B,4,3,48.87392,-125.15909,0,0,35,33,0,4,244,0
2,B,6,3,48.87392,-125.15909,0,0,29,54,0,4,204,0
2,B,7,3,48.87392,-125.15909,1,0,32,51,0,4,258,0
2,A,1,4,48.52455,-125.09608,1,0,480,53,0,9,84,203
2,A,2,4,48.52455,-125.09608,3,0,810,81,0,33,115,196
2,A,3,4,48.52455,-125.09608,3,0,630,51,0,18,115,171
2,A,4,4,48.52455,-125.09608,0,0,1200,72,0,12,72,152
2,A,5,4,48.52455,-125.09608,0,0,480,66,0,27,84,194
2,A,6,4,48.52455,-125.09608,2,1,810,46,0,19,92,73
2,A,7,4,48.52455,-125.09608,0,0,630,62,0,8,76,76